tag,day,round,gamma,err,ratio
no noise,27,6,-0.46875,0.02061133439333218,0.9906154775780802
no noise,27,7,-0.515625,0.02626366560666782,1.0115737926990445
no noise,27,8,-0.4921875,0.0028261656066678187,1.0012661533162655
no noise,27,9,-0.48046875,0.008892584393332181,0.9959835326378744
no noise,27,10,-0.486328125,0.0030332093933321813,0.998635543866905
no noise,27,11,-0.4892578125,0.00010352189333218131,0.9999535263991814
no noise,27,12,-0.49072265625,0.0013613218566678187,1.0006105096256626
no noise,28,1,0.0,0.41273861834356873,0.7429994718266603
no noise,28,2,-1.5,1.0872613816564312,1.1199847301195889
no noise,28,3,-0.75,0.33726138165643127,1.114403335258418
no noise,28,4,-0.375,0.03773861834356873,0.9816310186013505
no noise,28,5,-0.5625,0.14976138165643127,1.061720518952134
no noise,28,6,-0.46875,0.05601138165643127,1.0251755752265181
no noise,28,7,-0.421875,0.00913638165643127,1.0042772202808123
no noise,28,8,-0.3984375,0.01430111834356873,0.9931717399251677
no noise,28,9,-0.41015625,0.0025823683435687306,0.9987790269422003
no noise,28,10,-0.416015625,0.0032770066564312694,1.0015417750048605
no noise,28,11,-0.4130859375,0.0003473191564312694,1.0001638121205083
no noise,28,12,-0.41162109375,0.0011175245935687306,0.9994722720937363
no noise,29,1,0.0,0.44258547860045583,0.7228913484100524
no noise,29,2,-1.5,1.057414521399544,1.1296075164557222
no noise,29,3,-0.75,0.30741452139954417,1.1104509958102418
no noise,29,4,-0.375,0.06758547860045583,0.9659979623956496
no noise,29,5,-0.5625,0.11991452139954417,1.0517392145113953
no noise,29,6,-0.46875,0.02616452139954417,1.0122352449836691
no noise,29,7,-0.421875,0.02071047860045583,0.9899453625941008
no noise,29,8,-0.4453125,0.0027270213995441717,1.0012996508376433
no noise,29,9,-0.43359375,0.008991728600455828,0.9956746084428756
no noise,29,10,-0.439453125,0.0031323536004558283,0.9985001866008226
no noise,29,11,-0.4423828125,0.00020266610045582834,0.9999031867117752
no noise,29,12,-0.44384765625,0.0012621776495441717,1.0006022362301326
no noise,30,1,0.0,0.45298529389988407,0.7188603410503108
no noise,30,2,-1.5,1.047014706100116,1.1576212601885039
no noise,30,3,-0.75,0.29701470610011593,1.1123024637679106
no noise,30,4,-0.375,0.07798529389988407,0.9602574775902075
no noise,30,5,-0.5625,0.10951470610011593,1.048683408007623
no noise,30,6,-0.46875,0.015764706100115933,1.0075272587142952
no noise,30,7,-0.421875,0.031110293899884067,0.9846416151548719
no noise,30,8,-0.4453125,0.007672793899884067,0.9962740605766004
no noise,30,9,-0.45703125,0.004045956100115933,1.0019483154740216
no noise,30,10,-0.451171875,0.0018134188998840672,0.9991230724782644
no noise,30,11,-0.4541015625,0.0011162686001159328,1.0005386688855866
no noise,30,12,-0.45263671875,0.00034857514988406724,0.9998316139415322
no noise,31,1,0.0,0.42808410899140303,0.7164282937045606
no noise,31,2,-1.5,1.0719158910085969,1.2195160174123967
no noise,31,3,-0.75,0.32191589100859697,1.1406421483467177
no noise,31,4,-0.375,0.053084108991403034,0.9701481291851111
no noise,31,5,-0.5625,0.13441589100859697,1.0673507818598515
no noise,31,6,-0.46875,0.040665891008596966,1.021645857910242
no noise,31,7,-0.421875,0.006209108991403034,0.9966005711724694
no noise,31,8,-0.4453125,0.017228391008596966,1.0093020846289886
no noise,31,9,-0.43359375,0.005509641008596966,1.002995699157566
no noise,31,10,-0.427734375,0.00034973399140303396,0.9998091824459001
no noise,31,11,-0.4306640625,0.002579953508596966,1.0014052084140646
no noise,31,12,-0.42919921875,0.001115109758596966,1.0006078866153283
2% GMV noise,2,1,0.0,0.28787590569656885,0.7285672894136535
2% GMV noise,2,2,-1.5,1.212124094303431,1.5307655415123809
2% GMV noise,2,3,-0.75,0.46212409430343115,1.300406726809238
2% GMV noise,2,4,-0.375,0.08712409430343115,1.037437361991417
